,#image_name,norad_number,name,type,designation,lat [deg],lon [deg],height [m],t_start [UTC],t_end [UTC],range [m],ang_vel [deg/s],phase angle [deg],offset angle [deg],offset [px],TLE age [days], rho, theta, scale, sigma,RCS,Class,Shape,FirstEpoch,NEXP,Brightness,StarMag,ObjMag,EXPTimes,Counts,Albedos,PhaseCorrections,Latitude,Longitude,RaCenter,DecCenter,RollAngle,EarthAngle,SunAngle,MoonAngle,TimeDifference,Height,Diameter,Span,Width,SectMin,SectMax,Type,ObservationTime
0,CH_PR100002_TG000901_V0300_11.fits,41031,ARIANE 5 DEB (SYLDA),DEBRIS,15065D,3.218,-1.532,2348960.0,2020-04-18T19:14:00.621Z,2020-04-18T19:14:00.961Z,3036739.0,0.2115,25.4,1.57,66.8,-0.0967025729531747,-9.0,2.338741,48.6973794193349,17.18022599818234,27.39076094848601,Rocket Mission Related Object,Cyl,2015-11-10,1,3906.178068773797,13.342,-0.8853262933695021,60.0,633149.802734378,0.058093885620968,0.951634029044876,3.9206083,-20.323751,182.400167,-3.55222,275.7603,45.83935653423776,154.5910204764105,156.760648631081,1621.0,5.5,4.5,5.5,,15.904312808798329,29.419545644351928,Short,2020-04-18T19:14:30.620758
1,CH_PR100002_TG000901_V0300_26.fits,43643,YAOGAN-32 B,PAYLOAD,18077B,-81.802,107.078,724798.0,2020-04-18T19:43:01.426Z,2020-04-18T19:43:01.640Z,1996648.0,0.2585,25.44,0.41,33.5,-0.0170025472161413,140.0,1.6406095,48.6973794193349,16.906564703434757,0.446,Payload,Box + 2 Pan,2018-10-10,1,5761.362094917662,13.342,-2.6672621199608155,60.0,559649.2456431662,3.14587675061166,0.9515461738302852,-75.82833,-173.38162,182.400167,-3.55222,172.2325,14.557024394350526,154.56756748873352,158.1734406894005,556.0,0.5,,1.0,0.5,0.25,0.6332350782640924,Short,2020-04-18T19:43:31.426471
2,CH_PR100002_TG000901_V0300_60.fits,44742,STARLINK-1037,PAYLOAD,19074AF,45.052,121.755,553609.0,2020-04-18T20:17:02.371Z,2020-04-18T20:17:02.465Z,1112478.0,0.5904,25.45,0.31,33.6,-0.0446580786922427,140.0,1.6755161,48.6973794193349,17.371368362787052,13.5615,Payload,Box + 1 Pan,2019-11-15,1,55227.20150440446,13.342,-9.938471799699409,60.0,668544.8066693506,0.5886907042124574,0.9514597955410404,45.013584,135.07205,182.400167,-3.55222,44.767193,9.783675942365218,154.5445284322544,157.73705579605436,155.0,0.1,,8.86,3.7,0.2311,23.657,Long,2020-04-18T20:17:32.371143
4,CH_PR100002_TG000902_V0300_60.fits,38779,GSAT 10,PAYLOAD,12051B,0.063,83.044,35794716.0,2020-04-29T15:37:02.526Z,2020-04-29T15:37:06.703Z,37991720.0,0.01364,35.95,0.9,8.3,-0.2027146201078061,-10.0,1.8151424,48.349343145139855,21.829940978854257,15.402,Payload,Box + 2 Pan,2012-09-28,1,1971.2608776083616,13.342,7.278149859012246,60.0,567625.9616883689,0.6174180518477916,0.9047973316068584,18.881144,36.200245,182.400167,-3.55222,293.47272,54.61215912852967,144.05634780333634,69.46031298001294,2770.0,3.1,,15.4,2.0,4.0,31.077869668553443,Long,2020-04-29T15:37:32.525692
5,CH_PR100002_TG000902_V0300_60.fits,45026,GSAT 30,PAYLOAD,20005A,0.036,83.058,35795381.0,2020-04-29T15:37:02.526Z,2020-04-29T15:37:05.836Z,37994518.0,0.01363,35.92,1.09,14.3,-0.2479308297313548,-10.0,1.8151424,48.349343145139855,21.829940978854257,28.2133,Payload,Box + 2 Pan,2020-01-17,1,1971.2608776083616,13.342,7.279983375779434,60.0,567625.9616883689,0.3368588858843836,0.9047973316068584,18.881144,36.200245,182.400167,-3.55222,293.47272,54.61215912852967,144.05634780333634,69.46031298001294,103.0,4.0,,,2.5,6.25,60.4622,Long,2020-04-29T15:37:32.525692
6,CH_PR100002_TG002601_V0300_154.fits,163,MIDAS 3,PAYLOAD,61018A,42.147,120.047,3426476.0,2020-05-29T18:48:05.336Z,2020-05-29T18:48:05.702Z,4592173.0,0.1571,33.54,0.4,14.0,-0.4064022479668963,108.0,1.850049,29.31257017031452,19.215778065427507,11.47466716723672,Payload,Cyl,1961-07-12,1,2167.82822412625,12.214,2.287254145896002,60.0,1513198.8533982548,0.1604459029559274,0.9168671640418096,55.98166,153.36716,259.08975,9.55652,32.356277,44.59333722931163,146.48427688808752,98.96624088874398,21506.0,8.99,1.5,8.99,,1.7671458676442586,13.600295199646668,Long,2020-05-29T18:48:35.336069
7,CH_PR100002_TG002602_V0300_0.fits,3597,OAO 2,PAYLOAD,68110A,-25.859,-133.492,741455.0,2020-06-04T14:32:00.506Z,2020-06-04T14:32:00.585Z,702612.0,0.7036,32.64,0.82,1.4,0.3892551719923682,53.0,1.5009831,29.050619772708345,17.935725446484593,9.11549376348556,Payload,Oct Cyl + 2 Pan,1968-12-07,1,11333.70724857156,12.214,-5.603913147758918,60.0,1501704.0688800716,0.1110501985840059,0.9210403803776848,-27.107798,-126.057236,259.08975,9.55652,116.29437,22.23895810937827,147.36049949235638,35.02091628444914,18807.0,3.05,2.15,6.4,,3.2686010960348155,14.637179261296156,Short,2020-06-04T14:32:30.505241
8,CH_PR100002_TG002602_V0300_113.fits,224,THOR ABLESTAR DEB,DEBRIS,61015BL,26.397,-170.27,894391.0,2020-06-04T16:26:03.671Z,2020-06-04T16:27:03.671Z,605639.0,0.1643,32.64,1.33,26.0,-0.0116712288201903,192.0,0.4537856,29.050619772708345,18.474438639002862,,Rocket Fragmentation Debris,,1961-06-29,1,4548.906099417083,12.214,0.3363077340504699,60.0,1514725.858789898,,0.921080871352812,27.686874,-163.12648,259.08975,9.55652,62.633167,39.018577435523845,147.3691032847731,35.31792409706837,21525.0,,,,,,,,2020-06-04T16:26:33.670467
9,CH_PR100002_TG002602_V0300_173.fits,28707,EXPRESS AM-3,PAYLOAD,05023A,0.317,103.047,35792466.0,2020-06-04T17:33:05.530Z,2020-06-04T17:33:15.269Z,43715471.0,0.00567,32.63,1.14,6.3,0.1484175240697338,120.0,1.5707964,29.050619772708345,18.5130973520979,18.13972231371802,Payload,Cyl + 2 Pan,2005-06-24,1,5555.026423446437,12.214,8.288015939167396,60.0,1536077.476453184,0.8341282753103397,0.9210782606572518,-81.54859,-99.91245,259.08975,9.55652,178.70609,5.555601595098539,147.36854848591722,33.239373142262686,5459.0,2.0,2.0,27.0,,3.141592653589793,45.087011143372784,Long,2020-06-04T17:33:35.530036
10,CH_PR100002_TG002602_V0300_174.fits,28707,EXPRESS AM-3,PAYLOAD,05023A,0.309,103.047,35792448.0,2020-06-04T17:34:05.558Z,2020-06-04T17:34:15.293Z,43694255.0,0.005676,32.61,1.13,16.0,0.1491122930396411,139.0,1.6057029,29.050619772708345,19.169530354830886,18.13972231371802,Payload,Cyl + 2 Pan,2005-06-24,1,4452.751202943956,12.214,9.033658350646125,60.0,1660909.1675907287,0.6184147552205562,0.9210787299100572,-80.01975,-120.919785,259.08975,9.55652,174.70554,6.119036439018583,147.36864820620207,33.28003865918547,5459.0,2.0,2.0,27.0,,3.141592653589793,45.087011143372784,Long,2020-06-04T17:34:35.558014
